,sentences
436,"One is how we forget something important to us, and even though we try and try, we cannot recall it."
437,Later it pops into our Mind and we remember it.
438,We have all experienced forgetting something we knew well at some point.
439,We try to recall the name of a person.
440,We give up and forget about it.
441,Then a day or more later the name just pops into our Mind and there it is.
442,We were not even trying to remember any more.
443,"We do not know how, but we do know that it happens."
444,"Sometimes things get misplaced, or the soul may have moved it to archive memory which is not readily and immediately accessible, but it can be accessed given a little time."
445,"It would be interesting to know how this happens, but to know that it does happen deepens our understanding of the complexity of the human soul, and why higher order memories are not a brain function."
446,"Of course, this is simply to illustrate how complex the soul can be, that the Memory has several components, which are short term, intermediate and archival memory."
447,"So there is a rather complex method of sorting, storing, and retrieving memories."
448,And sometimes it just takes time to retrieve something which was misplaced.
449,"Many items are put into a current memory which is constantly being emptied, but not the things we found most important."
450,"But our Memory can only handle a certain amount of those, so most things are moved off into a longer term memory, or an archival memory, or even into the trash bin."
451,"We will discuss dreaming later, but dream information is generally put into a very short term memory, and is even dumped while sleeping unless it is so significant or startling as to be put into storage for later analysis when awake."
452,Then we move on and forget it.
453,"When we discuss dreaming and how the soul works while asleep in a later chapter, we will see that the soul functions differently during sleep."
454,A very interesting subject which requires further discussion.
455,"Next we will explore the Conscience of the soul, which is also a sub-component of the Mind of the soul."
456,"This book is about thoughts, thinking, and beliefs, so it is important to note the Conscience is that part of the soul where beliefs associated with right and wrong are stored."
457,"What is stored there may be accurate, distorted or false, but they are the beliefs of that person nonetheless."
458,As such the Conscience sets the parameters of acceptable thought and actions for the entire soul.
459,"The beliefs are formed over the life of the human, and they narrow the focus of the Heart's decision making process."
460,"Therefore, contrary to popular opinion, the Conscience does not automatically have correct values which line up with what God intends, since God does not directly populate the human Conscience with His truth."
461,"A properly aligned Conscience would have Biblical values, but that is rare."
462,Most people have a Conscience which aligns with a narrow set of rights and wrongs which can either be deeply held or easily dismissed as the occasion requires.
463,Therefore a Conscience is not by definition something inside all humans which knows right and wrong.
464,And it is certainly not a function in the brain.
465,"A Conscience is developed over 44 time by past thoughts, teaching, experiences, and actions of the individual."
466,"The Conscience is empty when the person is born, just as the rest of the soul, so it is not filled with proper standards from birth."
467,Rather it is developed by each individual person.
468,Therefore a Conscience is not necessarily a proper rudder on human behavior.
469,"Sometimes it is simply a self- designed excuse for people believing they are not so bad after all, and better than many other people."
470,God does not condone using the Conscience to condemn others for their personal failures.
471,"The Sinful Nature tempts the Heart to sin, often by excusing the act as not truly all that bad."
472,The Sinful Nature is constantly working to chip away little by little at the beliefs held in the Conscience.
473,"The Conscience is subordinate to and closely tied to the Mind: Titus 1:15 ""to those who are corrupted and do not believe, nothing is pure."
474,"In fact, both their minds and consciences are corrupted."""
475,"Such a Conscience is no longer useful for discerning good from bad, right from wrong."
476,Therefore we become casualties in the war against evil.
477,But that is not what God desires for us.
478,"A person can either develop a good Conscience and keep it intact, or let it erode and be corrupted."
479,"A Conscience which has been eroded can be rebuilt, although with difficulty."
480,"Overall a Conscience is what the person has made it to be, which can sometimes be nothing at all."
481,"We now turn to the fifth and final component of the soul, the Emotion."
482,"It is an amazing gift from God which, when used properly, provides some of the highest levels of humanity we are capable of."
483,"That might come as a surprise, but this does not mean we do not have an Emotion in the soul, because we do have one."
484,In these instances it refers to the Emotion of the soul.
485,"At other times the Bible describes an emotional response, but does not use the word ""emotion."""
486,"(NOTE: When referring to the Emotion as a soul component it will be singular, since it is a single entity.)"
487,"Once again we see that the Emotion is a soul component, not a brain response."
488,"But we must distinguish the Emotion of the soul and its responses from certain brain or glandular chemical, hormonal and biological responses which have been confused with true emotion."
489,"The physical body can elicit certain types of feelings and urges which are not emotional, but might seem related."
490,"So to be as accurate as possible, because that is important, we must understand the difference between Emotion from the soul and glandular responses from the body."
491,"Common language often refers to emotional responses and feelings as coming from the ""Heart,"" but that is very misleading."
492,"We have already discussed the Heart of the soul, and it is the integrator and decision maker of the soul."
493,"But the Emotion can certainly drive decisions by the Heart, but not based on figuring out issues, since that function occurs in the Mind."
494,"Therefore the Heart is the final decision maker regarding when the Emotion can send its outputs from the soul, although at times the response is too great to control."
495,"Overall, the Emotion of the soul is designed by God to be the source of 47 responses and reactions to what is going on both inside and outside the soul."
496,"It expresses a range of such ""feelings,"" but we should be more precise than that."
497,"And some depend on the circumstances, such as laughter and crying, which can be either positive or negative depending on the reasons for each."
498,"While the Emotion certainly expresses negative feelings, it is not the source of mental sins most often blamed on the Emotion."
499,"Anger, hatred, jealously, revenge, and so on are not emotions, but rather are sins motivated by the Sinful Nature in association with the Emotion."
500,"This might seem like a fine point, but remember that we are discussing what the Bible says, and precision is important."
501,"To be even more precise, the ""feeling sins"" are not initiated in the Emotion, but rather in the Sinful Nature, therefore they are sins and not emotional responses, although the Emotion is involved."
502,"So these types of sins have an emotional component to them, but they are not formed in the Emotion of the soul."
503,The key to the issue is where they originate.
504,"No, they originate in the Sinful Nature, and the final decision to sin is made by the Heart, after accepting the inputs of the Sinful Nature which misuses the Emotion."
505,"Therefore the Emotion is an intermediary in the process, and is neither the instigator nor the actor."
506,"But when it aligns with the Sinful Nature, it takes part in a rebellion against the Heart and puts the soul into turmoil."
507,Legitimate emotional response is not connected to the Sinful Nature.
508,"But the Sinful Nature misuses the Emotion as its primary entree into soul processes, in order to get its way in the soul."
509,"When combined as allies, this duo can be a powerful driver in the soul, but not a positive one."
510,"But the Sinful Nature can also go through the Mind, which is the devious route since it results in conniving mischief using actual 48 thought."
511,It tries to bend the direction the soul is going.
512,"It seeks to create havoc, uncertainty, doubt, etc."
513,It opposes the human spirit.
514,"Emotion does not think, or remember, or make decisions, or have a Conscience, or care about the downside effects of what it does."
515,"Often in ways which may appear random, because it cannot think as the Mind does, since the Emotion is not a thinking part of the soul."
516,"And when the Sinful Nature is exerting control over the Emotion, the responses are illogical and detrimental to the proper function of the soul."
517,It explains why so many people cannot think at all.
518,"It explains so many of the dysfunctional things in life, especially why so many people cannot see the plain truth when it is right in front of them and completely obvious."
519,"They are not thinking about the issues involved, but rather they are emoting about them, often under the influence of the Sinful Nature."
520,This is where so many distortions in thinking and human belief systems occurs.
521,Rational thought is blocked by the Emotion when it is controlled by the Sinful Nature.
522,"An Emotion which is out of control revolts against the Heart and Mind, and puts the soul into a state of dysfunction."
523,It wants to be in charge of the soul but cannot handle authority.
524,"It cannot decide what to believe, so it does not believe anything, or flips back and forth."
525,"The ability to trust God, or to even believe God exists, can be lost."
526,"When the Heart and Mind try to reason with the Emotion which is out of control, the Emotion ignores reason and goes with its ""feelings."""
527,"There will be further 49 discussion of the Emotion related to its alliance with the Sinful Nature in later chapters, since it explains so many soul maladies and dysfunctions."
528,SINFUL NATURE The Sinful Nature is the add-on component of the soul which was acquired when the first humans sinned.
529,"While unbelievers have only a soul, and believers have both a soul and human spirit, all humans have this additional non-physical part of them which did not come from God."
530,"The Sinful Nature is attached to the soul, but not inside it or even an integral part of it."
531,"SOUL COMPONENT INTERACTIONS OVERVIEW Now that we have discussed the individual soul components, this section will provide an overview of how those soul components interact with each other."
532,"It is important to provide an overall understanding of how the soul works, then later chapters can provide more details regarding specifics about how the various components affect thoughts and beliefs."
533,"For instance, the Bible clearly distinguishes between the Heart and the Mind."
534,These show how the Heart and Mind are two separate components of the soul.
535,"As previously noted, the Heart of the person is the central processor of the soul and also the decision maker."
536,"At the same time the Heart receives inputs from the other soul advisors such as the Conscience, Emotion and others, and combines the knowledge and understanding from the Mind with inputs from the other parts of the soul, and also the human spirit in the case of believers."
537,The Sinful Nature also constantly tries to influence this process.
538,"And the Sinful Nature is another advisor, being a usurper advisor attached to the soul although not inside it, and is often a very powerful and influential advisor to the Heart."
539,"And if the person is a believer, the human spirit also advises the Heart of the soul, providing inputs of a spiritual nature based on what it has learned from the Bible, if anything."
540,"That is because the Sinful Nature is an ever-present force acting on the soul and in opposition to the human spirit, so it must be continually dealt with."
541,"Therefore we see how there is continual internal soul conflict whereby the Heart is pulled in different directions, on one hand by the Sinful Nature and on the other hand by the human spirit."
542,"1 Peter 2:11 says ""abstain from sinful desires, which wage war against your soul."""
543,"Having a cunning and devious Sinful Nature which exerts its influences on the soul means we cannot stop all sinning, although we can control it to some degree when the human spirit is filled with spiritual information."
544,Therefore the Emotion of the soul should not get involved in most daily interactions inside the soul when decisions are being made.
545,"This is where much mischief inside the soul occurs, when the Sinful Nature enlists the Emotion as its ally to exert influence on the Mind and Heart."
546,"Therefore the Emotion is a ""wild card"" in the soul which can become overactive, and can exert undue influence over soul decisions."
547,"The result for a soul where the Emotion exerts too much influence will be illogical thinking, poor decision making, confusion, and eventually mental distortions."
548,These issues will be covered in more detail later.
549,"Before we move on, many of you have heard of something called a ""subconscious"" or ""subconscious mind."""
550,The person will not know these actions are being worked on until the results are presented by the Mind as an active thought or conclusion.
551,"But there is no separate subconscious mind as a component of the soul, since it is all part of the Mind and its ability to function on multiple levels at the same time, including background processing."
552,"Additionally, those thoughts which a person is trying to suppress are pushed down into this subconscious level, where thought does not result in immediate conclusions."
553,"The issue is ""I will think about that later."""
554,And that can be either legitimate or detrimental.
555,We will now take a more detailed look at the enemy within.
556,"Saying it is ""attached"" to the soul means the Sinful Nature is much like a barnacle on the hull of a ship, or a leach on a person."
557,It was not meant to be there.
558,God did not create it or design it.
559,"Rejecting God had enormous consequences not just for the original man and woman, but for all who would be descended from them."
560,"The long term effects of that one act of disobedience has been monumental, and will result in eternal misery for many."
561,"Therefore it was Adam who chose sin and gained a Sinful Nature for all humans, and that Sinful Nature was passed down through Adam to his offspring."
562,"The Sinful Nature is what tempts humans to disobey God, to revolt, to misbehave, to be arrogant, to disregard the normal functions of the soul and instead act irresponsibly."
563,And it is also the legacy of the revolt of Satan against God.
564,"When Satan sinned against God, and also the angels who joined him, each of them acquired a similar Sinful Nature at that point."
565,"So the Sinful Nature actually pre-dates humans, since it is an ancient legacy of the revolt of Satan."
566,"And Satan tempted the first humans into sin in order to pull them toward himself and away from God, therefore humans were lured through arrogance into accepting the Sinful Nature just as Satan had."
567,The Sinful Nature is what makes all who have it sin and disobey God in all the many ways creatures do so.
568,It is indeed the enemy within each of us.
569,"54 The fact that the soul is the source of so many negatives also proves that the Sinful Nature is attached to the soul, even though not inside the soul."
570,"The Sinful Nature is that part of the soul which Satan ""owns"" since he was the source of its creation at the fall of man."
571,"So the Sinful Nature is how Satan's Cosmic System influences people, and this is true whether it is a believer or unbeliever."
572,"Therefore human ""mental growth"" is less about brain development than soul development, since soul development is the only way to develop the logical advisors of the soul in a way which opposes the Sinful Nature's influences on the Heart of the soul."
573,"And illogical thinking and actions come from the soul, not from the human brain."
574,"The word ""sin"" in the singular and ""sinful"" are also used for the Sinful Nature, as well as several other terms."
575,"The following Bible verses refer to the Sinful Nature, and they are provided so the Reader can understand more about the Sinful Nature by reading through them without additional commentary."
576,"There are quite a few of them, but this is an important issue to understand since it is about the enemy of the soul."
577,"For I do not do what I want, but I do the very thing I hate."
578,"Now if I do what I do not want, I agree with the law, that it is good."
579,"So now it is no longer I who do it, but sin that dwells within me."""
580,1 Cor.
581,1 Pet.
582,"Ephesians 2:3 ""Among whom we all once lived in the passions of our flesh, carrying out the desires of the body and the mind, and were by nature children of wrath, like the rest of mankind."""
583,"Galatians 5:16 ""But I say, walk by the spirit, and you will not gratify the desires of the flesh."""
584,"Ephesians 4:22 ""To put off your old self, which belongs to your former manner of life and is corrupt through deceitful desires"" Galatians 5:19-23 ""Now the works of the flesh are evident..."" Romans 8:3 ""For God has done what the law, weakened by the flesh, could not do."""
585,"John 3:6 ""That which is born of the flesh is flesh, and that which is born of the Spirit is spirit."""
586,"Romans 13:14 ""...make no provision for the flesh, to gratify its desires."""
587,"Romans 8:3 ""For those who live according to the flesh set their minds on the things of the flesh, but those who live according to the Spirit set their minds on the things of the Spirit."""
588,"Those who are in the flesh cannot please God."""
589,We can see from the above verses that the Sinful Nature is discussed often in the Bible.
590,"With the Sinful Nature attached to the soul, it influences the person in multiple ways, all negative."
591,"The term ""base instincts"" applies to the low level conniving, arrogant, and immoral influences which are promoted from the Sinful Nature."
592,"Its primary path is to use the Emotion of the soul to influence the Mind and Heart, since the Emotion is a non-thinking responder to the Mind and Heart."
593,"Instead, the Sinful Nature peddles instinctive gratification of lust, arrogance, and other base desires, which entices the Emotion into a relationship with it, if the Heart is not diligent in preventing such an alliance."
594,Therefore the Sinful Nature works primarily through a system of arrogance and lusts.
595,"The arrogance part lures the person into thinking of themselves in vastly superior terms, far above reality."
596,"Arrogance therefore becomes a primary means of rejecting that which does not come from self, since only self matters, and only self is all-knowing."
597,"It may seem odd, but the Sinful Nature of each person has unique preferred sins and also non-preferred sins."
598,Each Sinful Nature is different.
599,"This is because certain types of sins do not line up with the particular lusts the individual prefers, which the Sinful Nature has acquired along the way."
600,"Whenever another person is regarded as a lesser human than self, the Sinful Nature is exercising its lust to be superior in its own view."
601,This often leads to sins of the tongue against another person.
602,"James 3:6 says ""The tongue also is a fire, a world of evil among the parts of the body."
603,"It corrupts the whole body, sets the whole course of one’s life on fire, and is itself set on fire by hell."""
604,"The reference to ""hell"" refers to the Sinful Nature as being a part of Satan's domain, since he is its originator."
605,"And most people have conflicting lusts since the Sinful Nature is not logical, but rather is instinctive."
606,"Recall that God did not give humans instincts to live by, but when humans sinned against God they chose instincts, which were introduced into the soul through the Sinful Nature."
607,These lusts are what makes humans instinctive and even animalistic although God did not design humans to function that way.
608,The Sinful Nature cannot act on its own and requires that the Heart validate its desires.
609,"At first this is not an easy task for the Sinful Nature, and treachery is required."
610,"If the Sinful Nature makes progress in getting its way, the process becomes much easier."
611,"The Heart cannot shift the blame to the other parts of the soul and say ""it wasn't me who did that"" when it gives in to the desires of the Sinful Nature."
612,"The Sinful Nature abuses this relationship between Heart and Emotion to its advantage, and presents its lusts first to the Emotion, and in turn the Emotion presents them to the Heart in the form of enticing emotional fulfillment."
613,"But the more the Heart gives in to the desires of the Sinful Nature, the easier it is for that Sinful Nature to have its desires approved by the Heart."
614,"When this happens, the Heart becomes hardened into a position of evil as it becomes instinctively predisposed to accept the desires of the Sinful Nature as the policy of the soul."
615,"Of course, it does not need to be that way."
616,The Heart can heed the advice of the Mind and its Conscience and reject the overtures of the Sinful Nature.
617,"And we will see that when the human spirit is filled with the Word of God, the human spirit can be the most powerful opponent of the Sinful Nature."
618,"Therefore the Sinful Nature is the enemy within, attached to our soul, working constantly to distract, derail, pull us in the wrong directions, cause emotional reactions against right actions, and lure us into revolting against the plan God has for our life."
619,"These mental sins become both inwardly destructive and also harmful toward others, including outward expressions as sins of the tongue."
620,"But for unbelievers it will remain part of them eternally, and will increase their torment."
621,When the Heart is primarily listening to and heeding the advice of the Sinful Nature the soul is working contrary to the design of God.
622,"The Sinful Nature is the ally of Satan, and allowing it to control the soul is a particularly disastrous state for believers."
623,As believers there is a constant war in our soul.
624,It is the battle of good versus evil.
625,"Our spiritual side, the human spirit, wars against the Sinful Nature, and vice versa."
626,"In most believers, unfortunately the Sinful Nature wins on a more regular basis."
627,"But for those who seek to please God during their time on earth, they will study the Word of God and fill their human spirit with spiritual learning, and will grow in the knowledge of God."
628,"As this growth continues, the believer has greater ability to resist the Sinful Nature and to fulfill the plan of God."
629,"They will not be perfect while alive on earth, and the Sinful Nature often gains certain advantages from time to time, but the key is to keep moving forward and continue growing in the Word in order to fill the human spirit with as much knowledge of truth as possible."
630,That is the primary purpose of the life of the believer after salvation.
631,"We believers remain on earth to grow spiritually, to live out of our human spirit which influences the soul to make the right choices, and to defeat the Sinful Nature in our daily walk through life."
632,"This is what allows us to love God, appreciate our Savior Jesus Christ, and generally to live as He wants us to live."
633,Then eternity is full of rewards for such a believer.
634,"For unbelievers, if they are controlled by the Sinful Nature they are in a state of revolt against the natural laws which God set in place for all humans to live by and under."
635,"They are still unsaved, but their life is generally ""normal"" and stable to a certain degree, even though apart from God."
636,"That is the gift God has given them while they are alive, respecting their choice to refuse salvation."
637,"But for the unbeliever the Sinful Nature will be a secondary source of soul pain during eternity, along with the intense physical pain."
638,"And speaking of the human spirit, it is finally time to take a more detailed look at this component of the inner human which is only found in believers."
639,It is what makes humans a spiritual being capable of interfacing with God.
640,"60 CHAPTER 7 THE HUMAN SPIRIT The human spirit is probably the least understood component of the inner human, even though the Bible reveals many fascinating things about it."
641,"We will now discuss what it is, what it does, and why we need one."
642,"The short version is that humans cannot interact with God without it, since it makes us spiritually alive."
643,And without it humans are spiritually dead.
644,"The previous chapters have mostly discussed the soul, but believers have two parts to their immaterial being, both a soul and human spirit, which are separate but connected."
645,"The human spirit and soul are differentiated as two separate parts of the inner human in both the Old Testament and New Testament since there are different words for each in both original languages of the Bible (Old Testament Hebrew: nephesh and ruach, New Testament Greek: psuche and pneuma, for soul and spirit respectively)."
646,"As a result of the original sin of Adam his descendants are born without a human spirit, however Jesus Christ was the exception."
647,"A human spirit is gained at salvation, so unbelievers have only a soul without a human spirit, since the human spirit is the product of spiritual regeneration at the point of salvation."
648,"This is why salvation must be a gift from God, not something to be earned over time, since no unbeliever can please God in any way or earn anything because they lack a human spirit and therefore are not spiritual beings."
649,"And the human spirit is given all at once, not gradually over time."
650,"Only God can make humans into spiritual beings at the point of faith in Jesus Christ as Savior, not as a result of anything the person does to try to earn it, since salvation cannot be earned or deserved."
651,"At the moment of belief in Christ the human spirit becomes regenerated, and that is the event which makes us a spiritual being and 61 locks in our eternal salvation."
652,Forever.
653,"Once it is regenerated, the human spirit can never again be lost by sin."
654,"1 Thessalonians 5:23 says: ""May your whole spirit, soul and body be kept blameless at the coming of our Lord Jesus Christ."""
655,"The human spirit is not the same as the Holy Spirit indwelling and mentoring the believer, but rather it is a second portion of the immaterial life of the believer, and although it is interconnected with the soul it is entirely separate."
656,Therefore we understand that the soul is primarily the humanity part of the believer which enables interaction with God's creation while the human spirit is the spiritual part of the believer which enables interaction with God.
657,"Unlike learning math or physics or a hobby, the Word has spiritual power in and of itself, which can only be harnessed if it resides in the human spirit where the Holy Spirit indwells."
658,"But knowledge puffs up while love builds up."""
659,Therefore it is learning the Word and growing by it which gives us power from God to live a life focused on God's plan for us.
660,"Only spirit can interact with Spirit, so it is our human spirit which interacts with God."
661,"However, the human spirit must use the soul to reach God, so these two parts of the inner human are required to act in unison."
662,"We must pray and worship and apply spiritual truths out from our human spirit, which in turn uses the Heart of the soul to reach God."
663,"And the Holy Spirit indwells our human spirit, not our soul, so when a believer is living the spiritual life that person is living out of their human spirit, the location of both the Holy Spirit and spiritual 62 truth from the Word."
664,"The human spirit filled with truth must therefore direct the soul, so that we do not live from the soul alone."
665,The human spirit is therefore necessary to understand spiritual information and to have interaction with God.
666,"The focal point for interaction between God and humans is the human spirit, since only spirit can interact with Spirit."
667,"So the most an unbeliever can have are soul thoughts about God in a general sense, but they are not spiritual thoughts, since that requires a human spirit."
668,"And they cannot understand God in any meaningful way or understand His spiritual truth, because as 1 Corinthians 2:14 says ""The person without the spirit does not accept the things that come from the Spirit of God but considers them foolishness, and cannot understand them because they are discerned only through the spirit."""
669,As such they can have no interaction with God.
670,"If they want to become a spiritual being, they must first accept the salvation offered by God through belief in Jesus Christ, at which point God gives that person a human spirit."
671,"Note that it is a belief which saves us, which is the subject of this book."
672,Beliefs are powerful things.
673,Once again the Bible provides the answers.
674,"We have seen that Hebrews 4:12 says: ""For the word of God is alive and active, sharper than any double-edged sword, it penetrates even to dividing soul and spirit, joints and marrow."""
675,"The ""joints and marrow"" reference is instructive regarding how the two are separate but work together, and also how they are designed."
676,"Note the word order in the verse above is ""soul and spirit, joints and marrow"" setting up the analogy with the soul analogous to the joints, and the human 63 spirit analogous to the marrow."
677,"The specific sections of the body in view are the hip and shoulder joints, which are the major joints of the body which affect mobility."
678,"Joint is not marrow, and marrow is not joint."
679,One is bone and the other is a spongy blood- making tissue.
680,"While there is also marrow inside the pelvis, sternum, and a few other locations, these are not ""joints"" as in this analogy."
681,"And it is the red marrow which makes the blood cells which flow throughout our bodies, giving it sustenance, delivering oxygen, and providing immune protection."
682,This would indicate that the human spirit is fully contained inside the soul just like the marrow is located fully inside the joint bones.
683,"Recall that humans are born with only a soul, but not a human spirit, so there is an ""empty space"" where the human spirit is later inserted if the person becomes a believer and is regenerated, meaning the human spirit is put in place into a specific space designed for it inside the soul."
684,"Without this analogy from the Bible we would have assumed the soul and human spirit were completely separated, and only connected at a single interface, somewhat like a dumbbell connected by a bar or two balloons tied together."
685,"Instead, the Bible shows the human spirit fully inside the soul, but still separate and distinct in a separate chamber designed to hold it."
686,64 Adam and Eve were created with both a soul and human spirit.
687,And their souls were created as male and female as well as their bodies.
688,"And this was before the woman Eve had been formed out from the DNA of Adam, so it is discussing the creation of the soul and human spirit."
689,"This passage in Genesis therefore refers to the inner human as the image of God, not the body, when male and female are mentioned as being created."
690,"When these two eventually sinned by eating from the Tree of the Knowledge of Good and Evil, the one forbidden tree, their human spirits are what died, but not their souls or bodies."
691,"This is what defines spiritual death, that the human spirit is dead and the person only has a soul."
692,"They remained physically alive after sinning, so it did not mean physical death."
693,"Again, this shows the importance God places on beliefs."
694,"Then God offered salvation which they both accepted, and at that point their human spirits were revived."
695,"But as a result of their original sin, the descendants of Adam and Eve are born without a human spirit, and salvation is required to obtain one by regeneration."
696,Therefore all people are born with a soul but no human spirit.
697,"The only exception was Jesus Christ who was born perfect with both a soul and a human spirit (spiritually alive) therefore He did not need salvation, which made Him qualified to be the Savior."
698,"At the moment of faith in Jesus Christ (and during the Old Testament by faith in the promised Messiah) the human spirit is revived, and from that time on the person is spiritually alive with both a soul and a human spirit forever."
699,Angels also have soul and spirit components.
700,"This does not refer to the bodies of angels, who are often called ""spirits,"" which is a physical issue."
701,"Elect angels have both soul and spirit, while Satan and fallen angels have only a soul without a spirit since they lost it when they 65 sinned and revolted against God."
702,"This separates God's elect angels from Satan and his fallen angels, just as humans are separated by the same issue."
703,Therefore fallen angels have no ability to have a spiritual relationship with God.
704,"Angels have the exact same soul (and spirit for elect angels) as humans, just in a different type of body."
705,"That is because mankind was created to resolve the conflict between God and Satan, and the only fair way to do it was by having the exact same immaterial components in both humans and angels, although in very different bodies."
706,"Therefore a spiritual life is only possible through use of the human spirit, which has four main purposes: 1) First, it makes the person spiritually alive and therefore enables interaction with God, since only spirit can interact with Spirit."
707,The soul cannot express spiritual thoughts apart from the human spirit.
708,And the human spirit relies on the soul to deliver its outputs toward God.
709,"This builds up our faith through an understanding of God, which builds trust and love."
710,"3) Thirdly, the human spirit makes spiritual information from the Word of God understandable."
711,"No person can truly and deeply understand spiritual information apart from the human spirit but ""considers them foolishness, and cannot understand them."""
712,For this purpose the human spirit has its own memory designed for spiritual information only.
713,The human soul cannot store spiritual information since it is not designed to do so.
714,"4) Finally, the human spirit is the source of spiritual direction to the Heart and Mind of the soul."
715,"Not perfectly, just greatly enhanced because the human spirit gets its power from the Word and from the Holy Spirit."
716,"66 As mentioned, the human spirit cannot directly interface with God or the outside world, but must go through the Heart and Mind of the soul."
717,"The spiritual information in the human spirit can be accessed by the Mind and used by the Heart, and that is the interface between soul and spirit, namely that the Heart and Mind of the soul access the spiritual information which resides in the human spirit and apply it to provide a life of spiritual impact."
718,Which brings up the point that the human spirit has sub-components just as the soul does.
719,"The human spirit has a Mind as well, which processes the spiritual information received into the human spirit and stores it in the Memory of the human spirit."
720,"So the human spirit's Mind and Memory are necessary to process and store spiritual information inside the human spirit, which is aided by the Holy Spirit who indwells the human spirit."
721,"While the human spirit is focused on the spiritual, the human soul is the center of human life and interfaces with the material world."
722,Therefore the believer can interface with God because the soul is supported by the human spirit.
723,"This is important to understand, that the human spirit must be present in order for God to recognize the right of a soul to interact spiritually with Him."
724,"This is what the Bible means when it says the Word of God is ""alive and powerful."""
725,"This further shows how spiritual thoughts originate in the human spirit and flow out of the soul through the Heart toward God and people, and spiritual learning flows back into the human spirit through the Heart and Mind."
726,"The Heart decides whether to allow information to enter the soul and human spirit, and can either accept or reject it, so the Heart acts as the gatekeeper of information for both the soul and human spirit."
727,"In all of this the Heart is not 67 just passing everything through, but rather the Heart decides what gets through."
728,It will also be prevented from getting spiritual information out through the Heart.
729,The result is a dysfunctional spiritual life because the human spirit is shut down by the Heart.
730,"The human spirit of the believer is empty at salvation when it is regenerated, and also in the believer who has never grown spiritually."
731,"If the soul goes to the human spirit for spiritual information but finds little or nothing there since it is empty or nearly so, there can be little or no spiritual expression by the Heart."
732,"This is why studying the Word of God is so crucial, because it is the basis of spiritual growth and puts information into the human spirit which can be accessed and used by the soul, and also by the Holy Spirit."
733,"1 Peter 2:2 says ""Like newborn babies, crave pure spiritual milk, so that by it you may grow up in your salvation."""
734,"Salvation gives us eternal life, but then filling up the human spirit with Bible truth is required to give us spiritual power with which to think and form beliefs consistent with the Word of God."
735,Only then can our spirit-soul processes function in alignment with God's plan for our lives.
736,Spiritual information must be stored and structurally assembled inside the human spirit with the mentoring of the Holy Spirit in order to have the power God designed His Word to have in us.
737,The Holy Spirit turns information learned from studying the Bible into a spiritually powerful form which is then usable to empower the spiritual life.
738,"But this does not occur all at once, and requires a long term commitment to the study of the Word of God."
739,"For new believers who know very little spiritual information at first, there is not much that can be applied to the life."
740,"Not perfectly, and not all at once."
741,"It takes time and persistence in learning the Word, which is our spiritual food for spiritual 68 energy."
742,Therefore believers must grow up spiritually by building up spiritual information inside the human spirit.
743,"The process is slow and requires continual learning and applying of God's Word to the life, first small issues and tests, then becoming real faith as the believer reaches higher and higher levels of spiritual maturity."
744,"Indeed, you are still not ready."""
745,"The Holy Spirit helps us by ensuring we can understand the spiritual information we learn by putting it into a usable form inside the human spirit where it is stored, categorized, and turned into an interlocking web of spiritual truth which becomes increasingly usable in our lives."
746,"This enables the believer to put to use the power of the Word from the human spirit through the soul, all with the help of the Holy Spirit."
747,"As the believer matures spiritually, the human spirit becomes the dominant influencer of the inner human, and that believer starts living life out from the human spirit rather than merely out of the soul as unbelievers live."
748,"Without maximum spiritual information in the human spirit the believer attempts to live the spiritual life out of the soul rather than the human spirit, which fails to please God."
749,"Soul Memory can store facts about God and His plan, but that is not spiritual information since it is only in the soul, therefore it is purely informational."
750,Only the human spirit stores spiritual information which is usable in a spiritual form.
751,"That is because the Holy Spirit works within the human spirit, where He indwells, to make the Word of God into spiritual understanding and wisdom."
752,"The more advanced the understanding of spiritual information, the greater the spiritual power."
753,"There is a difference between simply knowing something from the Bible in the soul and truly understanding and believing it in the human spirit, where it has 69 spiritual power with the help of the Holy Spirit."
754,"On the contrary, repay evil with blessing"" but then not be able to truly apply that verse to their life because it only resides in the soul, and is not embedded as spiritual information inside the human spirit."
755,"This is spiritual growth, the build-up of spiritual information into a spiritual form and format which becomes more and more an integral part of the life of that believer."
756,"Hebrews 6:19 says about the human spirit filled with the Word of God: ""We have this hope as an anchor for the soul, firm and secure."
757,"It enters the inner sanctuary behind the curtain."""
758,"The human spirit is the ""inner sanctuary"" comparing the layout of the Temple of Israel, whereby the human spirit is analogous to the Holy of Holies which housed the presence of God."
759,"So the soul of the believer is like the outer areas of the Temple where interaction with the outside world occurred, and the human spirit is like the Holy of Holies where personal interaction and communion with God occurred."
760,They are 70 spiritually dead to God.
761,"They require salvation and activation of a human spirit before God will have anything to do with them, or take notice of anything they do which is moral, nice, useful, helpful, and on and on."
762,Therefore God cannot help them if they will not simply believe and accept the only Savior.
763,We will next discuss beliefs.
764,"Beliefs are developed from our thoughts, and set the policies for the soul."
765,"Our beliefs drive the interpretation of what our senses feed into our soul, and also what we will think in response to those inputs from the outside world."
766,Thoughts and beliefs.
767,They define the real human.
768,"Now we are at the point where we can discuss what thoughts and thinking are, and how thoughts and thinking become beliefs."
769,Thinking does not necessarily result in beliefs.
770,"And thoughts are not always thinking, and thinking does not necessarily result in cogent thoughts."
771,"Beliefs are acceptance of the validity of someone, something, or some concept."
